index,familia,latin name,migrant,portugues,english,iucn,mma,description
16,Diomedeidae,Thalassarche melanophris,MGT,albatroz-de-sobrancelha,Black-browed Albatross,NT,," occurs on Southern seas from Cape Horn east to Antipodes Islands and from Campbell Islands south to New Zealand (Carboneras, 1992b). Its breeding season extends from September to April in the Malvinas/Falkland Islands, where the largest breeding colonies of this species are located (Neves et al., 2006) and where most individuals that visit Brazil originate from (ACAP, 2009). Nestlings (n = 52) banded on the Malvinas/Falkland Islands were recovered between May and September along the Brazilian coast, most of them south of Arraial do Cabo/RJ (Olmos, 1997), which suggests that the species is more common � though not exclusive � during winter in latitudes superior to 21�S (Olmos, 2002a). These recoveries, alongside sightings in open sea, suggest that records of this species in the southern coast of Brazil are mainly of juveniles (Olmos, 1997) that use the waters over the Brazilian continental shelf as feeding areas (Piacentini et al., 2005). Museum records also confirm the species� presence on the Brazilian coast mainly between May and September at RJ, SP, SC e RS (MZUSP; MNRJ)."
17,Diomedeidae,Thalassarche cauta,MGT,albatroz-arisco,White-capped Albatross,NT,," occurs in Tasmania and Auckland Islands, Crozet, Snares, Bounty and Chatham (Carboneras, 1992b) and breeds only on three islands south of Australia: Albatross, Pedra Branca and Mewstone (ACAP, 2009). They also occur in the western South Atlantic, where they are bycatch in pelagic longline fishing in Brazil and Uruguay (Gianuca et al., 2011). It occurs regularly in Brazilian waters, on the continental slope region along RS and SC, since juveniles were recorded in open sea between May and September from 2005 to 2011, one adult in August 2011 (Gianuca et al., 2011) and one photographic record in October for RS (WikiAves, 2016). There is also one record in PR, although the month is not mentioned (Scherer-Neto et al., 2011). Besides these, two other Brazilian specimens remain to be identified (D�nes et al., 2007): one from RS collected in April (Petry et al., 1991) and another from Bahia (BA) in September (Lima et al., 2004a). In this paper we follow CBRO (Piacentini et al., 2015). However, recent data reveals that there is no confirmed record of Thalassarche cauta in the Southwestern Atlantic, but of Thalassarche steadi instead, suggesting review of these seabirds identification as necessary (Gianuca et al., 2011; Seco-Pon & Tamini, 2013; Jim�nez et al., 2015)."
18,Diomedeidae,Diomedea epomophora,MGT,albatroz-real,Royal Albatross,VU,VU," occurs in southern seas and breeds in New Zealand, in the Auckland Islands (99% of the population) and Campbell (ACAP, 2009) from November to March (Neves et al., 2006). After breeding, it migrates across the Pacific and Cape Horn to feed on the continental shelf of Argentina (including the Malvinas/Falklands) and southern Brazil, where it remains for months before migrating back across the Atlantic and Indian Oceans (Olmos, 2002a; Neves et al., 2006). One chick banded in New Zealand in October 1976 was found dead almost one year later in RS, in August (Sick, 1997). Two specimens captured in RS in July and August were banded in Campbell (Olmos, 2002a) and there are records in April, August, September and November for Rio Grande/ RS (WikiAves, 2016). the continental shelf of Argentina (including the Malvinas/Falklands) and southern Brazil, where it remains for months before migrating back across the Atlantic and Indian Oceans (Olmos, 2002a; Neves et al., 2006). One chick banded in New Zealand in October 1976 was found dead almost one year later in RS, in August (Sick, 1997). Two specimens captured in RS in July and August were banded in Campbell (Olmos, 2002a) and there are records in April, August, September and November for Rio Grande/ RS (WikiAves, 2016)."
19,Diomedeidae,Diomedea sanfordi,MGT,albatroz-real-do-norte,Northern Royal Albatross,EN,EN," breeds in New Zealand, only in the Chatham Islands and the Otago Peninsula (Taiaroa Head) (Olmos et al., 2006) from September to April. After breeding, it migrates east to the coast of Chile and Peru, where it molts. It then goes around Cape Horn to reach the continental shelf of Argentina (including the Malvinas/Falklands) and southern Brazil before crossing the Atlantic Ocean via the South African coast and migrating through the Austral Ocean to its breeding site (Neves et al., 2006). For RS there are photographic records in the months of May, August (Bencke et al., 2010) and October (WikiAves, 2016) and also as bycatch in the longline fishing fleet of Brazil in August (Carlos et al., 2004a). For SC there is only one record in July 2001 away from the continental shelf (Olmos, 2002b)."
20,Diomedeidae,Diomedea exulans,MGT,albatroz-errante,Wandering Albatross,VU,CR," occurs across most of the Austral Ocean, from the Antarctic Circle (68�S) to the Tropic of Capricorn (23�S). It breeds in the South Georgia Islands on the Atlantic Ocean, mainly on Bird Island. It also breeds on Prince Edward and Marion Islands, Crozet and Kerguelen Islands, and Macquarie Island, which belongs to South Africa, France and Australia respectively. This species has a long reproductive period (55 weeks) and individuals that nest in the Atlantic migrate east reaching the south coast of Australia and the Pacific Ocean (Neves et al., 2006). Individuals (n = 12), mostly nestlings, banded on Bird Island/South Georgia in October were recovered in Brazil mainly in July and September, on the coast of RS or in open sea in RS and SP (Mestre et al., 2010)."
21,Diomedeidae,Diomedea dabbenena,MGT,albatroz-de-trist�o,Tristan Albatross,CR,CR," occurs in the central South Atlantic Ocean and it currently breeds only on Gough and Inaccessible Islands, since it is extinct in Tristan da Cunha (Olmos, 2008). Geolocation data suggests that 14 non-breeding adults used the southwestern Atlantic during the austral summer and migrated to the southeastern Atlantic and Indian Ocean to the east as far as Australia during the austral winter (Reid et al., 2013). Two male specimens banded on Gough Island in January and October were bycatch in longline fishing in Brazil in RS in October and November, respectively (Neves & Olmos, 2001). Records in Brazilian waters for SP (August), SC (November) and RS (October, November) suggest that the species is more frequent in waters under the influence of the Subtropical Convergence away from the coast of RS (Neves & Olmos, 2001). Museum records date for SC in September and RS in June, September and October (MZUSP specimens)."
23,Procellariidae,,MGT,,,,,
24,Procellariidae,Macronectes giganteus,MGT,petrel-grande,Southern Giant-Petrel,,," has a circumpolar distribution on southern seas and breeds from October to March in Antarctica and on islands from Chile to Argentina east through subantarctic islands to Heard and Macquarie Islands (Carboneras, 1992c; Olmos et al., 2006; Grantsau, 2010). Adults move only through waters that are adjacent to colonies, but the young perform circumpolar migration across the southern ocean when leaving the nest, with mainly westerly winds, before returning to the colony (Olmos, 2002a; Olmos et al., 2006). Birds banded as chicks and/or juveniles in South Georgia (Bird Island), South Orkney Islands and the Antarctic Peninsula between January and March were recovered in Brazil between June and October in the states of RJ, SC and RS (Olmos, 2002a). Brazilian museum records confirm that pattern from specimens collected in RJ in July (MNRJ) and from SP in June and SC in July (MZUSP). Nestlings (n = 10) banded between January and March on Elephant Island were mostly recovered in RS, but also in SC, PR, SP and RJ between June and November and in the Atol das Rocas/RN in February (SNA, 2016). There is one other recovery in Brazil in June without a known locality, which is of a chick banded in Australia in January (Sick, 1997). In addition, there are records of juveniles for RJ, SP, SC and RS between March and November (WikiAves, 2016)."
25,Procellariidae,Macronectes halli,MGT,petrel-grande-do-norte,Northern Giant-Petrel,,," breeds on South Georgia, Prince Edward, Crozet, Kerguelen, Macquarie, Auckland, Campbell, Antipodes and Chatham Islands and moves broadly through southern seas, usually between latitudes 30�S and 64�S. It is possible that the young circumnavigate before returning to the colony for the first time (Carboneras, 1992c). In Brazil, there are records for the coast in the states of SP and RS; most are from September to December (Carlos et al., 2005b). There are photographic records for the municipalities of Rio Grande and Tavares in RS between August and October (WikiAves, 2016) and museum records from SP in September and October (MZUSP)."
26,Procellariidae,Fulmarus glacialoides,MGT,pardel�o-prateado,Southern Fulmar,,," occurs in the southern seas and breeds in Antarctica and neighboring islands, migrating during austral winter to the southern coasts of Oceania, Africa and South America (Carboneras, 1992c). In Brazil, records are mainly from the southern and southeastern coasts, and can be observed in RS from June to November (Belton, 1984; WikiAves, 2016; MNRJ), in RJ in June (WikiAves, 2016), July and September (MNRJ) and in SP in February, August and September (MZUSP). In BA, one specimen (MZUSP 101816) was collected in Mangue Seco, Janda�ra in July 1994 (Lima, 2006)."
27,Procellariidae,Daption capense,MGT,pomba-do-cabo,Cape Petrel,,," breeds on subantarctic islands, in the Peninsula and in continental Antarctica. It begins moving between February and March and reaches Ecuador, Colombia, Mexico and even northern California. On the Atlantic coast, it reaches Uruguay and Brazil, where it was recorded for northern RJ (Carlos et al., 2004b). Two individuals recovered in Brazil in September (Santos/SP and S�o Francisco do Sul/SC) were banded in the South Orkneys in February (Sick, 1997; Olmos, 2002a). In addition, one specimen was collected in June 1863 in Cabo de S�o Roque/RN (Carlos et al., 2004b) and another four in the municipality of Lauro de Freitas/BA in August 1999 (Lima, 2006). There are also records for SC and RS between June and October (WikiAves, 2016). Museum records indicate presence in RS in July (MNRJ) and in SP in July and August (MZUSP)."
28,Procellariidae,Pterodroma madeira,MGT,,,,," breeds only on Madeira Island, with an estimated population of only 80-85 pairs before the fire in 2010 that devastated its breeding site (Flood & Fisher, 2013). Geolocation studies suggest that the species is highly dispersive on the Atlantic Ocean, but it visits the Brazilian coast regularly during the non-breeding season (Zino et al., 2011)."
29,Procellariidae,Pterodroma deserta,MGT,,,,," moves through the subtropical waters of the Atlantic, returning to the breeding sites on Madeira Island in Portugal in June (Carboneras, 1992c). This species� breeding season extends from early June to mid-November. Its migration starts in November, and wintering areas are usually reached around 10 days later. Geolocation data showed that 17 individuals banded on Bugio Island remained in northern Atlantic waters before laying eggs, incubating and caring for the young. Two wintering areas were identified on the coast of Brazil: one between the states of CE and PE, and another to the south, near the Tropic of Capricorn. Return migration usually starts in the second week of May (Ram�rez et al., 2013)."
30,Procellariidae,Pterodroma mollis,MGT,grazina-delicada,Soft-plumaged Petrel,,," occurs mainly between latitudes 30�S and 60�S on the Atlantic and Indian oceans and, during winter, in the southern seas below the Tropic of Capricorn (Carboneras, 1992c). Three specimens were found at Cassino beach/RS in September and October (Vooren & Fernandes, 1989). There are also records for SE in May (Carboneras, 1992c), SC in June and two more for the coast of RS in November (WikiAves, 2016). Brazilian museum records indicate the species presence in BA in February, August and September and in SP in May (MZUSP; MNRJ)."
31,Procellariidae,Pterodroma incerta,MGT,grazina-de-barriga-branca,Atlantic Petrel,EN,EN," breeds in Tristan da Cunha (Sick, 1997) and moves through the South Atlantic between the South American and African coasts (Carboneras, 1992c). In Brazil, three individuals were collected in RS: one in November 1972 and two in March 1973 (Belton, 1984). Two specimens were collected at Tucuru� Dam in eastern PA in September 1984, 400 km away from the coast (MPEG). This species uses the southern and southeastern coasts of Brazil as a feeding area, but there are also records for the northeastern region (Bugoni, in press). There are photographic records for SC in February and June, and only one record for Mangue Seco/ BA in June (WikiAves, 2016). For RS state the records are from the period between October and April (WikiAves, 2016; MNRJ) and in SP the collected specimens are from January, September and November (MZUSP)."
32,Procellariidae,Pachyptila desolata,MGT,faig�o-rola,Antarctic Prion,,," breeds on the islands of Crozet, Kerguelen, Macquarie, Heard, in Auckland, Arco Scotia, South Georgia, South Sandwich, South Shetland and in Antarctica between October and March, and moves through the southern Atlantic, Indian and Pacific Oceans (where it is rarer). After breeding it migrates north, and there are records for Brazil for PE in July (Carlos et al., 2005a) and for Maraj� Island/PA in August (Martuscelli et al., 1997). In RS, four specimens were found dead at Cassino beach (in June, July, October and November) and another one was collected to the south of Pinhal in September 1990 (Belton, 1994). There are records in June and July for RS (WikiAves, 2016; MNRJ) and for the Arvoredo Marine Biological Reserve in SC (Naka et al., 2002). In July and August in SP (Martuscelli et al., 1997; MZUSP; MPEG), RJ (MNRJ). In BA, this species is largely recorded throughout the coast between May and July (C.G. Machado, pers. obs.) with photographic and museum records, respectively, in June and July (WikiAves, 2016; MNRJ)."
33,Procellariidae,Pachyptila belcheri,MGT,faig�o-de-bico-fino,Slender-billed Prion,,," occurs in the southern Atlantic, Indian and Pacific oceans. Geolocation studies show that the species flies north for as far as 3,000 km after breeding (Carboneras, 1992c). Brazil is used as a wintering area (Martuscelli et al., 1997). There are widespread records on the coast of BA between May and July (C.G. Machado, pers. obs.; WikiAves, 2016; MNRJ). In RJ, specimens have been collected in June-August (MNRJ). In SP, the specimens were collected in June-August and October and December (MZUSP; MPEG; MNRJ). In RS, it is considered common in the Cassino beach region, although time of year is not specified (Belton, 1994)."
34,Procellariidae,Bulweria bulwerii,MGT,alma-negra,Bulwer's Petrel,,," has a pantropical distribution and moves through tropical and subtropical waters across the Atlantic, Indian and Pacific oceans. The Atlantic populations migrate to deep equatorial waters between Cape Verde and the Brazilian coast after breeding (Carboneras, 1992). Records in Brazil are quite rare, with only one photographic record for Campos dos Goitacazes/RJ in December (Klein, 2011). However, recent geolocation studies determined that parts of the Brazilian territorial sea are regular wintering areas between August and May (Dias et al., 2015)."
35,Procellariidae,Procellaria aequinoctialis,MGT,pardela-preta,White-chinned Petrel,VU,VU," nests on the Malvinas/ Falklands and South Georgia on the Atlantic Ocean. It also breeds on Prince Edward and Marion, Crozet, Kerguelen, Auckland, Campbell and Antipodes (Neves et al., 2006). It moves broadly through the three oceans between latitudes 30�S and 55�S. In Brazil, it is more common southern and southeastern coastal regions (Carboneras, 1992c). Data from geolocators and from satellite transmitters showed that ten individuals captured in South Georgia migrated to areas east of the La Plata River estuary in Argentina and wintered between February and April between Tierra del Fuego and southeastern Brazil until October, when they returned to South Georgia to breed and then lay eggs between November and December (Phillips et al., 2006). In Brazil, there are records for RS in July, August, September, November, December, April and May (Belton, 1984; MNRJ; MZUSP). In April-October at the coast of SP and RJ (Sick, 1997; MNRJ; MZUSP). There are also records for the coast of BA in April and May (WikiAves, 2016), as well as specimens collected in June-August (MZUSP; MNRJ). In PA, the records are from August and September (Sick, 1997; MPEG)."
36,Procellariidae,Procellaria conspicillata,MGT,pardela-de-�culos,Spectacled Petrel,VU,VU," breeds on Inaccessible, Tristan da Cunha and Gough Islands (Olmos et al., 2006). It moves broadly on the Atlantic between latitudes 23�S and 36�S, between the South American coast (from southeastern Brazil to Uruguay) and the African coast (Carboneras, 1992c). In Brazil, it occurs on the southern and southeastern coastal regions (Grantsau, 2010), and there are records for RS in September and November, SC in February, June, July, August and November, and for PR, Esp�rito Santo (ES) and BA in May (WikiAves, 2016)."
37,Procellariidae,Calonectris borealis,MGT,cagarra-grande,Cory's Shearwater,,," individuals were equipped with geolocators at three different breeding sites (the Azores, Canary Islands and Mediterranean). Four out of the eight individuals equipped in the Azores and one out of the seven equipped on Canary Islands wintered in the southwestern Atlantic Ocean, associated with the Brazil Current (Gonz�lez-Sol�s et al., 2007). In February 1971, one specimen banded on Savage Islands (between Canary Islands and Madeira) was found dead in Tramanda�/ RS and six other individuals were collected on the same beach (February, March, April, October and December) (Belton, 1984). There are photographic records for almost the entire Brazilian coast from RS to MA between November and June (WikiAves, 2016). Museum specimens were collected in July-August in BA and in January in SP (MZUSP)."
38,Procellariidae,Calonectris edwardsii,MGT,cagarra-de-cabo-verde,Cape Verde Shearwater,NT,," breeds in Cape Verde, from where it migrates between November and February to winter in little-known areas. On the Brazilian coast, there are records for BA � two individuals were collected at Praia do Forte in June of 1995 (Lima et al., 2002), for SP in May, for PR in December (WikiAves, 2016) and for RS in May (Petry et al., 2000). This characterizes the species as a migrant in the Brazilian open sea. It is probably recorded when flying to the productive waters of the southern platform and Subtropical Convergence (Olmos & Bugoni, 2006)."
39,Procellariidae,Puffinus griseus,MGT,pardela-escura,Sooty Shearwater,NT,," is a widespread species that occurs on all seas (Carboneras, 1992c; Grantsau, 2010). It nests in Chile, Australia, New Zealand, Tasmania, Malvinas/Falklands and islands around Tierra del Fuego from November to April. It also performs transequatorial migrations outside this period (Cooper et al., 1991; Carboneras, 1992c; Hamilton et al., 1997; Petry et al., 2008). They reach RJ every year and rarely BA during austral winter (Sick, 1983). The records for Brasil are located in: BA in May, June, October and November (Lima, 2006; WikiAves, 2016; MZUSP); RJ in May, June and October (WikiAves, 2016; MNRJ); SP in May to August (WikiAves, 2016; MZUSP); SC in May-June (WikiAves, 2016) and RS in different months with a population peak in July (Petry et al., 2008)."
42,Procellariidae,Puffinus gravis,MGT,pardela-de-barrete,Great Shearwater,,," breeds on the Malvinas/Falklands, Tristan da Cunha and Gough (November to April) in southern Atlantic waters (Carboneras, 1992c). Its transequatorial migration begins in April and it returns to the colony in September (Harrison, 1983). This species comes near the Brazilian coast between April and May, when it is flying from the south to the north (Sick, 1997). It is recorded for the northeastern region of Brazil between May and June (Carboneras, 1992c), and for RS in August, October and November, as well as March and May (Petry et al., 2008). Most records are from April to July for the southern and southeastern regions, but there are also records for BA (WikiAves, 2016; MNRJ; MZUSP)."
43,Procellariidae,Puffinus puffinus,MGT,pardela-sombria,Manx Shearwater,,," breeds on the sea of Ireland and stays on the South American coast during boreal winter from December to March (Guilford et al., 2008), especially between Brazil and Argentina, according to data from bands and satellite transmitters (Carboneras, 1992c). This species performs transequatorial and transatlantic migrations. Data from 12 geolocators suggests that migration southwards is through the western African coast, across to the Brazilian coast by the shortest route and then to the south and southwest to winter near the coast of Argentina, south of the La Plata River. The return to the north tends to go through a short westward route through the eastern Caribbean to the east coast of the USA and then through the North Atlantic. All individuals made stops ranging from a couple of days to two weeks in different places and dates (Guilford et al., 2009). Individuals banded in Wales, Ireland and Scotland in July, August and September were recovered in 13 Brazilian states, especially in the southern and southeastern regions of the country, in SC, SP, RS and RJ in September, October, November and December (Mestre et al., 2010). In Brazil, museum records are from September-December in RJ, SP and RS, and in BA there are isolated records in July and November (MZUSP, MNRJ)."
44,Procellariidae,Puffinus lherminieri,MGT,pardela-de-asa-larga,Audubon's Shearwater,,CR," its movements are little known. It occurs in Bermuda, Caribbean, Gal�pagos Islands, Pacific Ocean, Indian Ocean, Arabian Sea and, in Brazil, throughout the southeastern and northeastern coasts (Efe & Musso, 2001; Silva-e-Silva & Olmos, 2010). In Brazil, it currently breeds only on Morro da Viuvinha and Morro do Le�o Islands in Fernando de Noronha/PE. The Brazilian population is restricted to 30 fully grown individuals and tends to stabilize, with no signs of influx from individuals from foreign populations (Efe & Serafini, in press). Data from banding and recapture of the young and of adults confirms nest fidelity; the species returns to breed with the same partner every year (Efe, 2004)."
45, Hydrobatidae,,MGT,,,,,
46, Hydrobatidae,Fregetta grallaria,MGT,painho-de-barriga-branca,White-bellied Storm-Petrel,,," occurs in tropical and subtropical seas of the Southern Hemisphere. It breeds on the islands of Lord Howe, Kermadec, Tristan da Cunha, Gough, St. Paul, Amsterdam, Juan Fernandez and Austral (Rapa Island). It apparently migrates to lower latitudes and reaches the Brazilian coast (Carboneras, 1992c; Olmos, 2000a), where it occurs in open sea between RJ and BA in October (Coelho et al., 1990; Sick, 1997)."
47, Hydrobatidae,Fregetta tropica,MGT,painho-de-barriga-preta,Black-bellied Storm-Petrel,,," after breeding on Antarctic and subantarctic islands, migrates north to subtropical and tropical zones, reaching most of the Brazilian coast (Carboneras, 1992c). The subspecies F. t. tropica, which occurs in Brazil, breeds on South Georgia, South Shetland and South Orkney Islands to the east as far as the Antipodes. It uses Brazil as a wintering area (Grantsau, 2010) and there are records for the coast of BA in January (Olmos, 2000b) and for RS (Petry et al., 2016), where it was photographed in November 2011 (WikiAves, 2016)."
48, Hydrobatidae,Oceanites oceanicus,MGT,alma-de-mestre,Wilson's Storm-Petrel,,," breeds on subantarctic islands from Cape Horn east to Kerguelen Islands, and on southern seas on South Shetland and South Sandwich islands and the Antarctic coast (Carboneras et al., 2016). It has been mainly recorded between April and November for several places on the Brazilian coast, from BA to RS (Belton, 1984; MZUSP; MNRJ; WikiAves, 2016). However, there are isolated records for RN in January and for BA in March (WikiAves, 2016; MZUSP)."
49, Hydrobatidae,Oceanodroma leucorhoa,MGT,painho-de-cauda-furcada,Leach's Storm-Petrel,,," after breeding in the Northern Hemisphere and in South Africa, its populations migrate mainly southwards as far as the Cape of Good Hope. Part of the population overwinters on the equatorial coast of Brazil (Carboneras, 1992c), and there are records from Amap� (AP) to SP without defined dates (Grantsau, 2010), except for those on the coast of RN that are from January 2015 (WikiAves, 2016) and for some specimens collected in AP in February an May, for PA in January and February, and in CE in January (MZUSP; MPEG)."
50,Pandionidae,,MGT,,,,,
51,Pandionidae,Pandion haliaetus,MGT,�guia-pescadora,Osprey,,," occurs on all continents except Antarctica and is migratory across most of its distribution. It migrates from the Northern Hemisphere to the Amazon Basin and the northern coast of South America between August and November and from Florida to South America through the Caribbean (Poole et al., 2014). The subspecies P. h. carolinensis is a migrant from the north that occurs in Brazil at a higher rate between the end and the beginning of the year, but it can be found there throughout the year (WikiAves, 2016), since immature individuals can remain in the country at least for the first three years of their life (B. Whitney, pers. obs.). Breeding in South America has not been reported, but individuals carrying sticks have been seen, which can be regarded as �learning or practicing� breeding behavior as seen in the Northern Hemisphere (B. Whitney, pers. obs.). Some 28 individuals banded in the USA were recovered in AM; one individual born near New York was collected in Ilh�us/BA (August); two chicks banded in Maryland, USA (July) were recovered in Mato Grosso (MT) (September) and on the Madeira River/AM (October) (Sick, 1997). This species is recorded throughout the year near Manaus, but it is very common from September to March (Stotz et al., 1992). In addition, individuals banded in North and Central America in June and July were recovered in Brazil in 17 different states � AP, RR, AC, Rond�nia (RO), AM, PA, MT, MS, Goi�s (GO), MG, MA, CE, PB, BA, RJ, SP and PR � especially from October to January (Mestre et al., 2010). Specimens have been collected in Brazil from August to May (MZUSP; MNRJ; MPEG)."
52,Accipitridae,,MGT,,,,,
53,Accipitridae,Harpagus diodon,MGT,gavi�o-bombachinha,Rufous-thighed Kite,,," breeds from August to April in the Atlantic Forest and in forest fragments in the Cerrado, and overwinters mainly in the equatorial forests of the Amazon Basin with some individuals staying further north in the Guiana Shield (Cabanne & Seipke, 2005; Lees & Martin, 2014). The species needs to be better studied in the Atlantic Forest in the northeastern region of Brazil to determine if records in austral winter are of a resident population,VAGrant individuals (Lees & Martin, 2014) or overwintering individuals from the south (B. Whitney, pers. obs.). In RS, where it is considered rare, there are records in October, November and May (Belton, 1994)."
54,Accipitridae,Ictinia mississippiensis,MGT,sovi-do-norte,Mississippi Kite,,," occurs in southern central USA from Kansas, Arizona and New Mexico south to Florida (White & Marks, 2016). It breeds in North America and overwinters in South America (Ferguson-Lees & Christie, 2001), especially in Paraguay, southeastern Bolivia, southwestern Brazil and northeastern Argentina (White & Marks, 2016). It breeds in North America between May and July and pre-migration flocks gather in early August in groups of 200-300 birds that move south in early September (Thiollay, 1994). The migration south between September and November seems to be through the foothills of the Andes as far as the Amazonian lowlands (Stotz et al., 1992). From December to February, the species is found in central South America, where the Chaco forest is its main wintering site (Juhant & Areta, 2013). The migration north occurs from late February to April departing from central and northern Argentina, over the Colombian Andes (Juhant & Areta, 2013). In Brazil, this pattern is supported by records from RO, MT, MS, PR and RS (WikiAves, 2016) and by data from AM, PA and MG (Stotz et al., 1992; Vasconcelos et al., 2008a, 2011) that are restricted to the period between September and March. The scarce records of this species for South America during austral winter are of juvenile individuals (Juhant & Areta, 2013) that probably got lost during migration (Bildstein, 2004)."
55,Accipitridae,Buteo platypterus,MGT,gavi�o-de-asa-larga,Broad-winged Hawk,,," breeds from central Canada to southern USA and virtually its entire population (except birds from southern Florida) migrates to South America during boreal winter and reaches northwestern Brazil, with some of the birds covering up to 8,800 km (White et al., 1994) in very large flocks (Bildstein, 2004). In Brazil, it occurs mainly in the Amazon Basin, but there are some records in the Cerrado and the Atlantic Forest, with no apparent flocks forming. It can be observed from October to March in the Amazon region and in the Pantanal (in spite of one record for MT in June), and in the southeastern and southern Atlantic Forest � in RJ, MG, PR, SC and RS � from November to January (WikiAves, 2016; MNRJ; MZUSP, MPEG)."
